"Date Inserted","Reporting Date","Sale Month","Store","Artist","Title","ISRC","UPC","Quantity","Team Percentage","Source Type","Country of Sale","Songwriter Royalties Withheld (USD)","Earnings (USD)","Recoup (USD)"
"2026-05-22","2026-05-22","2026-04","YouTube (Ads)","QuanThaSav and B.Scar","We CU","QZWFL2519015","199511232755","1","100","Song","AT","0.00000","0.015774783114",
"2026-05-22","2026-05-22","2026-04","YouTube (Ads)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","76","100","Song","US","0.00000","0.375934481846",
"2026-05-22","2026-05-22","2026-04","YouTube (Ads)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","3","100","Song","MX","0.00000","0.000943354733",
"2026-05-22","2026-05-22","2026-04","YouTube (Ads)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","0","100","Song","DE","0.00000","0.001256054492",
"2026-05-22","2026-05-22","2026-04","YouTube (Ads)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1","100","Song","AU","0.00000","0.000243327711",
"2026-05-22","2026-05-22","2026-04","YouTube (Ads)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1","100","Song","AR","0.00000","0.000294305655",
"2026-05-22","2026-05-22","2026-04","YouTube (ContentID)","QuanThaSav and B.Scar","We CU","QZWFL2519015","199511232755","1","100","Song","US","0.00000","0.000732360603",
"2026-05-22","2026-05-22","2026-04","YouTube (ContentID)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","837","100","Song","US","0.00000","2.989558446407",
"2026-05-22","2026-05-22","2026-04","YouTube (ContentID)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","10","100","Song","MX","0.00000","0.005761984186",
"2026-05-22","2026-05-22","2026-04","YouTube (ContentID)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1","100","Song","GT","0.00000","0.000224633295",
"2026-05-22","2026-05-22","2026-04","YouTube (ContentID)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","3","100","Song","FR","0.00000","0.004988781166",
"2026-05-22","2026-05-22","2026-04","YouTube (ContentID)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","10","100","Song","DE","0.00000","0.026496318109",
"2026-05-22","2026-05-22","2026-04","YouTube (ContentID)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","6","100","Song","CA","0.00000","0.011304140067",
"2026-05-22","2026-05-22","2026-04","YouTube (ContentID)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","8","100","Song","BR","0.00000","0.003642182638",
"2026-05-22","2026-05-22","2026-04","YouTube (ContentID)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","4","100","Song","AU","0.00000","0.042923779072",
"2026-05-22","2026-05-22","2026-04","Youtube Shorts Composition","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1250","100","Song","US","0.00000","0.029233036054",
"2026-05-22","2026-05-22","2026-04","YouTube (Audio)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1","100","Song","US","0.00000","0.002502599108",
"2026-05-22","2026-05-22","2026-04","YouTube (Ads) - Composition","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","837","100","Song","US","0.00000","0.896867533922",
"2026-05-22","2026-05-22","2026-04","YouTube (Red) - Composition","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","4","100","Song","US","0.00000","0.005887124889",
"2026-05-22","2026-05-22","2026-04","YouTube (Red) - Composition","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1","100","Song","US","0.00000","0.001090115724",
"2026-05-22","2026-05-22","2026-04","YouTube (Red) - Composition","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","161","100","Song","US","0.00000","0.208987004663",
"2026-05-22","2026-05-22","2026-04","YouTube (Red)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1","100","Song","ZA","0.00000","0.006249560655",
"2026-05-22","2026-05-22","2026-04","YouTube (Red)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","86","100","Song","US","0.00000","0.801832869371",
"2026-05-22","2026-05-22","2026-04","YouTube (Red)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","3","100","Song","UA","0.00000","0.008766520763",
"2026-05-22","2026-05-22","2026-04","YouTube (Red)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1","100","Song","SV","0.00000","0.001808631799",
"2026-05-22","2026-05-22","2026-04","YouTube (Red)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1","100","Song","SE","0.00000","0.029467300903",
"2026-05-22","2026-05-22","2026-04","YouTube (Red)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1","100","Song","PL","0.00000","0.003391843715",
"2026-05-22","2026-05-22","2026-04","YouTube (Red)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1","100","Song","PH","0.00000","0.003632492479",
"2026-05-22","2026-05-22","2026-04","YouTube (Red)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1","100","Song","MX","0.00000","0.001548100441",
"2026-05-22","2026-05-22","2026-04","YouTube (Red)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1","100","Song","IN","0.00000","0.000499468130",
"2026-05-22","2026-05-22","2026-04","YouTube (Red)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1","100","Song","CA","0.00000","0.005589105731",
"2026-05-22","2026-05-22","2026-04","YouTube (Red)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","11","100","Song","BR","0.00000","0.069454966222",
"2026-05-22","2026-05-22","2026-04","YouTube (Red)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","2","100","Song","AU","0.00000","0.023012893334",
"2026-05-22","2026-05-22","2026-04","YouTube (Red)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","3","100","Song","AE","0.00000","0.022398355362",
"2026-05-22","2026-05-22","2026-04","YouTube (ContentID)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","3","100","Song","US","0.00000","0.011308571537",
"2026-05-22","2026-05-22","2026-04","YouTube (ContentID)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","4","100","Song","US","0.00000","0.019114005171",
"2026-05-22","2026-05-22","2026-04","YouTube (ContentID)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1","100","Song","US","0.00000","0.002201056247",
"2026-05-22","2026-05-22","2026-04","YouTube (ContentID)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1","100","Song","US","0.00000","0.001751568951",
"2026-05-22","2026-05-22","2026-04","YouTube (ContentID)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1","100","Song","US","0.00000","0.003854832441",
"2026-05-22","2026-05-22","2026-04","YouTube (ContentID)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","3","100","Song","US","0.00000","0.009557002585",
"2026-05-22","2026-05-22","2026-04","YouTube (ContentID)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","2","100","Song","US","0.00000","0.007709664882",
"2026-05-22","2026-05-22","2026-04","YouTube (ContentID)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","75","100","Song","US","0.00000","0.661639945862",
"2026-05-22","2026-05-22","2026-04","YouTube (ContentID)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","4","100","Song","MX","0.00000","0.006855963240",
"2026-05-22","2026-05-22","2026-04","YouTube (ContentID)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1","100","Song","HU","0.00000","0.002708374907",
"2026-05-20","2026-05-20","2026-03","Facebook (Social Media Pack)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1094","100","Song","US","0.00000","0.025331139942",
"2026-05-20","2026-05-20","2026-03","Facebook (Social Media Pack)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","81","100","Song","OU","0.00000","0.001875523150",
"2026-05-20","2026-05-20","2026-03","Facebook","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","198","100","Song","US","0.00000","0.091665622392",
"2026-05-20","2026-05-20","2026-03","Facebook","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","42","100","Song","OU","0.00000","0.019444222918",
"2026-05-20","2026-05-20","2026-03","TikTok","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","32","100","Song","US","0.00000","0.030320232564",
"2026-05-20","2026-05-20","2026-03","TikTok (Social Media Pack)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1","100","Song","US","0.00000","0.000758005814",
"2026-05-20","2026-05-20","2026-03","Pandora","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","2","100","Song","US","0.00000","0.012817238602",
"2026-05-20","2026-05-20","2026-03","Pandora","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","3","100","Song","US","0.00000","0.010500263644",
"2026-05-15","2026-05-15","2026-03","Amazon Unlimited (Streaming)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1","100","Song","MX","0.00000","0.005370696911",
"2026-05-15","2026-05-15","2026-03","Amazon Unlimited (Streaming)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","99","100","Song","US","0.00000","0.766644140907",
"2026-05-15","2026-05-15","2026-03","Amazon Prime (Streaming)","QuanThaSav and B.Scar","We CU","QZWFL2519015","199511232755","1","100","Song","US","0.00000","0.002132034690",
"2026-05-15","2026-05-15","2026-03","Amazon Prime (Streaming)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","4","100","Song","US","0.00000","0.012792208144",
"2026-05-15","2026-05-15","2026-03","Amazon Unlimited (Streaming)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","4","100","Song","DE","0.00000","0.021901032644",
"2026-05-15","2026-05-15","2026-03","Tidal","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","4","100","Song","PL","0.00000","0.032738340173",
"2026-05-15","2026-05-15","2026-03","Tidal","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1","100","Song","MX","0.00000","0.006436201823",
"2026-05-15","2026-05-15","2026-01","NetEase","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","4","100","Song","US","0.00000","0.001885200230",
"2026-05-15","2026-05-15","2026-02","Deezer","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","2","100","Song","US","0.00000","0.025452085893",
"2026-05-15","2026-05-15","2026-02","Deezer","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","5","100","Song","BR","0.00000","0.002717074124",
"2026-04-23","2026-04-23","2026-03","Youtube Shorts Composition","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1805","100","Song","US","0.00000","0.023446538006",
"2026-04-23","2026-04-23","2026-03","YouTube (ContentID)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","2","100","Song","US","0.00000","0.007177049271",
"2026-04-23","2026-04-23","2026-03","YouTube (ContentID)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1","100","Song","US","0.00000","0.005600935565",
"2026-04-23","2026-04-23","2026-03","YouTube (ContentID)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","22","100","Song","US","0.00000","0.068105112636",
"2026-04-23","2026-04-23","2026-03","YouTube (ContentID)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1","100","Song","US","0.00000","0.003588524635",
"2026-04-23","2026-04-23","2026-03","YouTube (ContentID)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1","100","Song","US","0.00000","0.001641656922",
"2026-04-23","2026-04-23","2026-03","YouTube (ContentID)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","121","100","Song","US","0.00000","1.094021201204",
"2026-04-23","2026-04-23","2026-03","YouTube (ContentID)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","2","100","Song","MX","0.00000","0.003239927625",
"2026-04-23","2026-04-23","2026-03","YouTube (ContentID)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1","100","Song","EG","0.00000","0.000207628421",
"2026-04-23","2026-04-23","2026-03","YouTube (ContentID)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1","100","Song","DE","0.00000","0.002888638419",
"2026-04-23","2026-04-23","2026-03","YouTube (ContentID)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","3","100","Song","CZ","0.00000","0.010925306112",
"2026-04-23","2026-04-23","2026-03","YouTube (ContentID)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1","100","Song","CA","0.00000","0.004513487006",
"2026-04-23","2026-04-23","2026-03","YouTube (ContentID)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1","100","Song","AU","0.00000","0.012217036230",
"2026-04-23","2026-04-23","2026-03","YouTube (Red)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","167","100","Song","US","0.00000","1.576474368408",
"2026-04-23","2026-04-23","2026-03","YouTube (Red)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","3","100","Song","UA","0.00000","0.008334182580",
"2026-04-23","2026-04-23","2026-03","YouTube (Red)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1","100","Song","RO","0.00000","0.002281143376",
"2026-04-23","2026-04-23","2026-03","YouTube (Red)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","2","100","Song","PL","0.00000","0.006827483080",
"2026-04-23","2026-04-23","2026-03","YouTube (Red)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","12","100","Song","NZ","0.00000","0.063506425690",
"2026-04-23","2026-04-23","2026-03","YouTube (Red)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1","100","Song","MY","0.00000","0.001751742906",
"2026-04-23","2026-04-23","2026-03","YouTube (Red)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1","100","Song","HK","0.00000","0.005010598142",
"2026-04-23","2026-04-23","2026-03","YouTube (Red)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1","100","Song","GH","0.00000","0.001860381593",
"2026-04-23","2026-04-23","2026-03","YouTube (Red)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1","100","Song","FR","0.00000","0.005477232462",
"2026-04-23","2026-04-23","2026-03","YouTube (Red)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","4","100","Song","CA","0.00000","0.031622594237",
"2026-04-23","2026-04-23","2026-03","YouTube (Red)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1","100","Song","BR","0.00000","0.005964293707",
"2026-04-23","2026-04-23","2026-03","YouTube (Red)","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1","100","Song","AR","0.00000","0.001777349869",
"2026-04-23","2026-04-23","2026-03","YouTube (Red) - Composition","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","1","100","Song","US","0.00000","0.000358186026",
"2026-04-23","2026-04-23","2026-03","YouTube (Red) - Composition","QuanThaSav and MiloMadness","Broncos Country Anthem","QZMEQ2536230","199336188978","6","100","Song","US","0.00000","0.011975342316",
